name,name_kr,bre_name,country,대분류,소분류,abv,image
Hopfive IPA,,Susquehanna Brewing Company,US,ALE,American IPA,6,ipa.jpg
HopFish IPA,,Flying Fish Brewing Company,US,ALE,English India Pale Ale (IPA),6.2,ipa.jpg
Hopfest,,Legend Brewing Co.,US,ALE,American IPA,6.5,ipa.jpg
Hopfentea,,Perennial Artisan Ales,US,ETC,Berliner Weisse,4.2,lg.jpg
Hopfather,,Russian River Brewing Company,US,ALE,American IPA,7,ipa.jpg
Hoperation Overload,,DESTIHL Brewery,US,ALE,American Imperial IPA,9.6,ipa.jpg
Hopdinger,,O'so Brewing Company & Tap House,US,ALE,American Pale Ale (APA),5.4,pa.jpg
HopDevil India Pale Ale,,Victory Brewing Company - Downingtown,US,ALE,American IPA,6.7,ipa.jpg
Hopcelot IPA,,Lawson's Finest Liquids,US,ALE,American IPA,7,ipa.jpg
Hopburst IPA,,Madhouse Brewing Company,US,ALE,American IPA,7.2,ipa.jpg
Hopbloem,,Ithaca Beer Company,US,ALE,Belgian IPA,8,ipa.jpg
Hopback Amber Ale,,Troegs Brewing Company,US,ALE,American Amber / Red Ale,6,rale.jpg
HopArt IPA,,COAST Brewing Company,US,ALE,American IPA,7.7,ipa.jpg
HopAnomaly - Reserve Series Aged In French Oak Chardonnay Barrels,,Nebraska Brewing Company,US,ALE,Belgian IPA,10.6,ipa.jpg
HopAnomaly,,Nebraska Brewing Company,US,ALE,Belgian IPA,9.3,ipa.jpg
Hop-a-lot-amus,,River Horse Brewing Co.,US,ALE,American Imperial IPA,8.5,ipa.jpg
Hopalicious,,Ale Asylum,US,ALE,American Pale Ale (APA),5.7,pa.jpg
Hopageddon Imperial IPA,,Napa Smith Brewery,US,ALE,American Imperial IPA,9.2,ipa.jpg
Hopadillo IPA,,Karbach Brewing Co.,US,ALE,American IPA,6.6,ipa.jpg
"Hop, Drop 'n Roll",,NoDa Brewing Company,US,ALE,American IPA,7.2,ipa.jpg
Hop*A*Potamus,,Great River Brewery,US,ETC,Rye Beer,9,lg.jpg
Hop Wrangler,,Peace Tree Brewing Co.,US,ALE,Belgian IPA,6.2,ipa.jpg
Hop Whore,,Tyranena Brewing Company,US,ALE,American Imperial IPA,7.5,ipa.jpg
